node	kcore
55096	19
24807	18
2529	15
40502	11
36407	13
19620	10
354	5
35908	4
51032	2
15713	4
25206	22
38428	22
49092	30
29584	27
9494	22
39517	52
48003	36
47610	22
23439	36
43961	15
3585	19
32293	18
35892	20
26832	17
27038	21
25107	20
22018	20
41264	22
29611	18
14471	7
34385	7
4070	9
5932	17
23778	22
14352	19
38176	22
43317	22
19688	22
25830	22
38431	22
6096	39
31667	22
11265	19
40626	22
28791	22
19167	24
26792	16
1596	19
4985	27
34568	22
11594	19
52316	9
7494	22
44138	22
54415	26
41540	17
48918	15
30930	15
17123	15
16931	20
23255	18
34797	22
25010	22
5699	25
15821	22
44977	18
32992	22
14810	12
7851	13
16669	22
5754	28
56637	18
44632	20
133	20
1291	22
47608	23
28903	20
48795	20
16955	19
35900	22
53337	23
48053	18
27113	21
26244	16
31668	18
42065	19
27357	16
57275	20
33803	19
38370	19
22127	20
32343	19
50954	19
38913	19
19137	12
1311	26
32423	22
2779	21
10823	22
2469	22
21108	22
18058	26
15628	22
56937	16
16616	14
51429	20
14553	19
42394	22
58075	22
10745	22
16202	22
42630	22
39821	22
41589	21
12702	21
9378	22
42983	22
54259	22
29830	21
2200	21
2325	21
15446	21
50718	21
47065	21
55538	38
28319	42
37206	22
21326	22
7418	22
44137	13
30808	18
9870	21
4142	21
49074	17
28380	22
27049	9
8048	13
39875	7
33887	14
24717	10
27634	15
21966	15
32664	6
3459	6
25883	11
17901	36
49624	27
17559	17
10520	22
48391	19
11227	21
5849	22
27529	22
44872	19
27974	19
16268	19
2612	47
19116	45
5965	14
50865	14
32285	19
22389	19
19663	68
16018	22
5379	20
16687	35
32180	19
16357	18
1277	8
43191	17
23662	17
51610	17
6136	26
4238	30
35816	22
30264	33
55212	22
40701	22
48798	21
50801	17
1783	19
21734	21
19986	21
1295	21
10392	17
23432	17
53777	22
8519	22
39583	21
56556	22
15152	22
10054	22
3120	19
37582	19
6709	19
28272	15
11785	20
49017	18
49774	16
17664	18
18240	18
14422	42
49299	23
9107	25
50366	19
13458	19
31865	22
4007	22
74	19
1249	22
10756	25
30473	22
46191	22
54064	21
31991	22
5210	20
40296	13
55080	18
46055	21
28108	21
56305	22
10788	22
8498	10
50707	10
33261	14
22374	22
19294	24
47478	24
8534	9
32982	13
51271	9
29244	32
41852	19
43195	19
4367	19
48843	19
24521	19
35730	21
9248	21
45673	11
26760	19
35399	12
43786	17
34088	55
23261	15
54004	22
18583	21
15862	27
22942	38
50414	15
37894	22
32747	18
44089	20
32897	20
39661	27
16443	27
46087	10
9687	10
13918	17
5704	8
50618	20
7052	6
38478	13
20385	8
10843	9
44320	9
21693	9
2334	22
26615	22
11607	19
7294	19
18445	25
27782	5
21320	8
6619	7
7446	9
311	5
27601	15
53520	13
36079	12
45217	9
19402	21
37509	7
6879	14
55126	19
8054	15
56055	11
30006	15
48895	20
48612	20
44755	19
24613	19
48438	18
14342	22
19779	33
7648	8
47786	18
31277	12
24372	22
36967	22
30765	22
33044	18
18829	22
32766	18
31596	22
25803	22
41521	22
8869	22
5946	22
57392	63
44866	19
43226	21
13226	17
40199	20
26284	21
50685	16
27921	21
44520	19
55525	28
46634	18
5056	17
31006	10
21613	9
11993	10
24839	22
25159	25
11969	17
48765	20
12093	24
16504	18
521	19
38411	23
45957	32
14555	20
5138	19
32733	22
40007	22
49490	36
24287	20
29070	18
328	19
50098	17
36559	21
42015	36
19310	22
41772	19
14621	21
33854	19
57393	19
29445	24
18082	19
54550	19
566	19
33663	19
8432	19
44833	19
4900	19
24337	19
19219	19
20005	19
24681	19
18312	19
13879	19
33039	36
36455	22
56303	22
26802	22
16054	22
35858	20
31227	17
46228	13
39344	22
57923	9
42280	22
18083	22
35181	22
57554	22
47798	22
53643	25
11659	22
14749	22
38588	32
35572	21
34393	36
47388	22
51875	1
34527	6
33884	33
18933	22
6825	17
35853	19
20599	22
53531	27
54301	21
31099	19
16621	18
45181	16
18640	19
8233	19
10822	49
18236	45
28030	9
1970	19
2903	24
20484	64
54790	22
29203	22
43754	22
55198	22
37678	20
37439	22
54040	21
28484	13
36137	20
26530	12
28064	9
18839	5
53656	19
2619	16
31889	17
54563	19
7486	14
50007	13
10480	18
48950	23
21480	19
27937	19
10471	22
44048	22
47507	22
24878	22
40909	22
6337	20
27777	16
29004	18
34202	15
18309	13
16571	17
17459	15
16217	18
7763	18
26949	23
3702	24
28885	19
34194	19
27723	20
15003	19
52001	16
33458	19
19573	19
54607	20
36714	39
28644	38
58209	19
31689	20
24355	22
21911	19
52188	19
48134	19
39603	19
8975	16
46820	10
30829	19
35888	19
15641	19
9218	19
15259	19
30934	19
2280	17
12252	21
45244	18
31894	17
18772	19
43016	19
22878	18
53333	22
3870	22
9146	36
20528	24
43780	26
14154	20
8190	20
53339	24
324	19
46719	19
33461	19
38107	19
41811	19
50915	19
47076	19
1957	19
36496	19
53529	19
16525	18
20953	19
7548	18
49600	18
49035	19
43333	19
54126	20
34703	19
8713	22
18057	21
57801	20
17068	19
45371	16
11959	22
25972	64
9420	13
32184	15
20062	15
41185	16
23379	22
10855	29
17835	15
45126	19
22706	24
12669	27
41694	10
49350	26
46437	20
55299	19
32888	22
49606	57
42797	73
57093	59
54930	22
36290	20
1544	20
16756	23
18003	24
27001	21
8065	18
48051	19
43473	19
39930	22
22729	22
29965	11
11094	69
12254	40
58229	19
44317	19
10162	26
23163	23
37997	20
28587	33
52698	33
7862	22
6330	22
32825	19
17441	22
23304	22
24007	21
27764	26
9317	22
7498	9
45010	8
17506	9
51002	28
2180	18
2626	30
51619	22
38029	19
32277	19
27380	19
9466	19
57172	20
30898	18
45826	22
58310	22
57131	22
29481	19
30845	15
34738	22
13627	22
24953	22
15640	22
4732	19
56203	22
40995	13
23204	22
26892	21
49683	22
52125	22
14848	22
32619	22
56642	22
34290	26
451	24
34366	22
27640	22
8398	23
22050	38
35395	32
19813	68
44507	19
41037	14
12100	14
20527	18
58003	19
1080	19
21546	18
47815	18
3509	19
17914	18
37864	25
716	22
31977	22
6380	19
39055	18
21829	22
45853	19
27050	19
34928	19
29364	21
13257	8
20905	17
17740	15
17454	15
15638	15
25127	24
3740	24
27432	18
28276	22
953	22
56914	22
38304	64
5746	37
26706	36
15870	29
5958	22
15564	22
16105	38
18769	38
13953	26
39405	23
16392	21
44100	21
18499	36
3360	116
18328	20
34672	22
13599	20
55077	21
54352	18
14406	25
34752	19
53391	18
34359	17
19117	11
16028	18
8434	15
32471	17
41604	18
14259	12
9117	23
30436	18
11707	5
52265	19
19650	19
11577	19
56122	26
51740	16
22191	13
36109	17
48569	17
30799	36
7930	22
11526	25
53586	35
6585	22
11314	19
51337	14
15589	19
49665	19
2117	24
55134	27
3765	17
27431	18
38960	19
8025	18
12002	21
49014	22
6932	22
9304	22
47704	22
29254	22
50276	20
25431	48
3579	44
53354	24
45914	20
39040	19
21765	19
24390	18
50118	36
15879	18
57680	19
9138	19
17228	9
36348	14
22291	14
57781	14
31272	11
44979	12
39090	15
1869	21
57844	19
56568	11
38973	25
41958	22
16291	22
58281	46
47653	10
35909	12
46375	24
9543	18
52447	25
48437	22
43977	22
54523	36
17117	22
21620	69
40834	21
37140	24
13110	22
45796	21
10907	20
25936	22
22223	22
46098	22
39417	37
11010	10
39574	19
33096	15
43047	21
11750	19
39553	20
46204	22
41848	22
3188	22
51761	24
48375	24
53682	22
15715	18
53008	19
23247	22
51745	22
43266	16
36961	8
9172	22
37651	13
4370	5
4068	15
37669	8
50731	19
45520	7
12560	15
37178	19
19566	22
22404	22
19611	29
6637	29
4519	35
27325	22
6078	22
40070	21
2748	21
13422	21
39129	21
50192	22
4201	21
3524	22
45612	20
40318	20
23681	22
25029	22
15706	22
39327	22
54260	18
49792	22
54144	21
57156	22
17440	24
45075	22
4393	12
6204	12
12765	14
55197	18
47939	19
54427	12
53338	18
47811	18
27729	18
49053	14
27197	13
20357	17
17185	9
12338	12
53480	14
50342	22
21796	18
55666	15
55816	22
49439	25
55022	20
31813	13
1575	17
49344	17
48130	19
48844	15
57271	15
12531	18
32562	19
28139	19
15444	22
56007	18
15788	20
13647	20
27855	19
7371	19
24618	19
24760	21
24803	20
44457	18
18105	21
28534	21
47671	23
9142	24
48020	8
42781	8
9684	11
25128	9
44997	10
33617	10
1946	20
4472	25
39988	20
48378	19
6366	24
24048	25
54318	25
8784	10
20560	22
45260	20
43314	14
26472	22
16885	22
19103	22
14997	14
23965	14
17518	14
35850	23
11572	9
4497	19
20774	22
25133	22
37963	22
50870	22
11432	22
57979	9
19582	16
35045	16
13303	27
19775	19
51266	20
54812	59
20351	20
12197	19
7887	25
17183	22
36361	19
23703	20
25145	29
47004	21
53387	21
9501	21
52700	21
4445	22
30864	22
12269	24
20345	25
1533	23
55743	22
13070	22
2162	19
41623	19
8674	21
7641	19
29893	19
42542	36
51057	26
54962	19
23466	19
35143	25
52917	24
745	22
5759	28
18661	19
47492	18
2616	19
48899	18
8628	16
24517	17
33801	19
17993	19
21387	20
12367	19
39068	19
11064	20
2585	17
26060	22
33550	20
33659	16
45091	18
34280	28
14685	26
38069	19
7076	19
23409	19
54010	18
12700	22
13472	22
50530	21
44819	21
49900	17
57858	22
4834	25
52100	18
25086	18
39247	25
44398	125
36959	22
75	13
37923	19
54222	22
52571	22
6578	20
240	18
22509	10
35401	14
9360	20
14125	18
7164	14
43430	19
11694	19
58400	19
34511	20
14775	19
23505	19
21333	24
56170	14
6371	15
15059	31
943	28
56607	22
24200	22
55367	22
949	22
55697	22
41344	19
40928	19
10492	17
1597	22
1183	22
31528	22
33052	22
2187	43
7156	22
21859	22
31503	21
14085	16
16588	29
54950	18
48553	10
11130	20
14067	20
55663	16
46869	19
18183	20
14136	18
27045	29
51256	22
33888	30
19379	24
14014	8
10532	12
49596	22
28532	22
40156	22
16725	22
32026	22
19313	22
54269	22
11795	14
48997	18
33834	22
28184	17
33900	18
43905	18
57049	20
26085	17
52185	20
23061	20
49174	20
1143	21
17078	20
35262	24
5882	26
14338	16
54373	13
40641	10
4240	11
26972	24
5862	11
23898	20
11206	20
11393	16
42159	12
23949	16
49730	19
57300	19
15707	13
20266	13
15983	19
43513	19
19217	22
168	59
7876	9
5231	19
4980	19
18530	34
19195	26
14255	20
44843	19
54250	19
38195	14
49594	14
2591	18
31378	12
2112	16
51751	11
43118	36
34715	17
29157	17
12628	15
54813	15
23527	20
33272	22
28326	22
39859	22
13103	23
20175	23
46935	22
2948	16
21117	19
49441	19
4807	19
42117	19
396	19
3432	19
53637	19
5428	26
37495	21
39425	20
33998	10
55597	10
50449	23
43277	21
11932	19
12073	20
41108	19
21664	15
48813	19
23601	14
24677	20
253	6
57290	24
1778	22
31684	19
9040	19
50338	19
31890	19
32574	19
55825	16
50207	17
52846	32
22434	33
50152	26
38629	24
53695	22
22340	22
9552	22
31363	17
55721	22
23010	35
15112	16
15765	15
48733	18
54234	20
15815	24
32591	19
30238	20
35468	20
5643	68
33542	22
6069	17
36028	16
144	14
3527	17
44445	25
14147	16
57569	17
22604	18
10104	19
39429	19
55720	19
28132	20
1305	15
26021	11
2894	19
2251	19
28266	22
42432	19
35388	20
16337	19
49203	19
47547	19
8636	19
13319	22
40447	21
439	21
25065	21
55257	21
37653	22
5741	22
30414	22
10643	21
37326	19
2002	18
31387	18
14328	19
7673	18
34107	19
2781	19
44802	17
3752	25
813	19
13536	25
45333	25
21439	21
6086	20
47284	20
4234	30
58311	21
9303	19
8501	4
56275	22
40132	37
25454	19
184	19
55084	17
523	18
55667	19
41412	22
41798	15
15330	15
28465	14
4109	18
9610	18
15221	19
52708	9
32345	20
2873	35
4010	19
8098	7
53396	6
21698	10
54573	7
28141	20
49292	19
36704	19
9599	19
16508	19
24869	19
55873	19
40045	40
32161	21
17879	21
1678	20
25989	19
13416	20
37421	24
33608	19
45266	22
56902	22
797	22
49139	20
19003	22
42259	22
41160	18
17675	21
31765	45
1550	12
28343	22
28539	19
46850	19
11125	30
18329	17
50676	21
13875	18
39530	15
2390	16
1546	26
12050	19
16188	18
23607	18
14457	19
48925	17
34058	17
332	19
7315	19
20033	17
40461	19
16543	19
3098	18
2169	19
6016	20
26136	15
43192	13
46960	19
9575	22
48050	19
1879	22
6043	19
57914	17
18021	21
32310	22
35165	22
11487	25
48068	22
43318	19
15374	19
39218	19
40430	19
23957	4
669	3
44362	10
13218	11
16977	11
13101	12
55901	11
50989	13
13201	15
23234	23
32577	22
56025	21
56778	23
41009	22
37526	18
44118	20
26122	9
21318	14
21805	15
27158	11
29955	15
6562	16
39579	20
57640	20
57511	22
5135	22
53210	19
8318	11
32843	19
22654	12
25550	33
25789	43
3384	20
24518	17
11984	23
50882	20
54829	18
49132	18
55103	22
43262	20
29900	17
44141	20
44021	20
45369	20
15235	19
32072	19
47142	18
9214	19
37260	22
34540	47
9728	97
56859	22
9143	24
41914	24
1591	22
38727	18
30709	22
24162	14
50281	18
27036	19
42313	22
17051	71
27543	29
7057	22
41397	29
49560	20
21051	22
46920	20
46678	24
6470	20
35826	20
37180	19
37191	18
48031	31
51132	20
7906	19
6674	19
33070	18
19661	19
52788	19
46165	19
15463	22
41615	22
33869	22
30405	22
19878	22
3989	17
52078	19
513	15
36682	19
6653	19
16900	19
49332	18
40159	25
7173	37
8355	16
3919	20
2588	19
25198	8
34341	14
24744	22
32916	19
7743	21
37123	20
697	18
14985	24
58156	22
54991	24
10771	22
38377	6
26313	18
26738	19
5963	19
46787	19
38607	19
36055	15
54163	19
39576	22
48523	22
29238	24
18419	22
45358	34
26998	41
19699	15
42554	14
11166	15
43435	41
24446	21
27243	16
48406	19
52976	10
9392	19
23710	20
37711	19
5888	25
27111	19
12279	23
48590	10
41972	12
32876	19
999	19
46608	2
24992	2
30488	3
31722	13
35524	19
49001	19
58234	19
41476	19
19759	19
41247	21
19790	19
39941	19
44839	21
17384	21
23137	17
14243	16
50422	11
37665	12
10015	24
4285	35
14954	20
46626	9
10654	17
15421	11
39307	17
49346	24
19348	1
23047	22
44969	22
10895	24
29948	22
31688	22
52018	22
56633	21
48927	22
47195	22
9266	22
6395	22
43170	18
56610	18
8840	22
2913	22
31478	22
19233	22
23840	22
45994	22
54233	22
42170	21
27939	22
15427	24
49564	22
52352	22
38203	24
44536	22
34898	37
998	18
19773	18
45905	22
39023	22
15957	22
56328	16
5471	17
52663	19
13824	15
8364	16
39235	16
39756	19
22244	19
57856	43
47794	11
58032	4
28645	22
28976	22
25857	19
2498	20
12660	20
51580	18
32461	18
30598	19
6966	19
17775	19
56757	19
55152	19
42905	18
37498	19
26168	19
52407	19
43214	19
8639	19
35831	19
22014	17
34834	20
14736	19
56876	21
40337	16
26627	18
58355	15
54100	11
44382	18
42668	8
51719	21
20835	18
8138	16
50322	18
31639	19
43879	19
4949	19
48075	9
39814	18
37004	17
17714	19
34022	22
28558	21
8666	22
6616	22
36986	22
53501	22
24133	19
32367	18
42937	35
34007	17
173	18
58115	18
10919	17
2032	22
30954	24
21299	19
40012	19
20232	24
49635	20
5167	18
3618	22
26515	30
34798	17
11176	17
42549	20
3425	29
48267	23
25767	21
56116	20
37641	15
23854	12
20658	19
10845	19
51907	40
4448	22
25140	20
12392	24
1836	20
36278	24
49202	10
1870	8
13461	29
53228	14
23370	17
3677	17
30839	17
54644	18
5458	22
8919	22
44358	19
39188	19
44505	22
25948	17
46576	19
28697	18
57915	20
58055	20
55036	18
15191	17
10632	22
43290	22
45756	20
18551	19
20701	17
33355	19
55130	19
55954	18
25343	21
16351	19
29316	20
17849	24
23862	8
41750	14
31510	18
22365	19
26263	19
14146	19
52991	29
44329	21
24789	23
24640	22
2299	23
38278	23
51637	19
7830	7
7088	18
14472	8
56727	8
26452	9
57996	15
39341	19
36477	22
21185	19
7855	17
11760	22
45614	18
1214	16
19905	22
11418	14
43631	15
35907	19
33205	19
46655	19
1535	22
50734	22
37308	17
17297	18
37470	22
44627	22
38881	22
12463	25
1252	22
36706	18
52431	18
57726	22
20327	22
32730	22
42757	22
13104	22
13980	12
39568	18
23546	19
36710	19
42707	42
13789	18
26830	22
4667	16
37435	27
46531	22
25480	22
15922	22
2984	22
4934	22
46231	30
20503	22
47512	22
35098	22
4612	19
4220	19
20164	18
50023	17
54732	17
40298	22
55235	24
370	24
20841	25
49232	24
44891	33
32727	49
10464	20
52455	21
51929	20
23732	9
57595	14
17984	22
50156	22
51374	22
55284	22
17484	22
39194	22
52199	22
10473	22
43978	22
14270	22
23352	22
41430	18
54193	29
24475	17
45313	18
43823	18
1058	12
48429	5
3603	19
31415	19
53340	20
40437	16
37519	17
49881	14
20663	18
57910	22
40328	22
32306	22
26798	22
22857	24
40344	22
26565	24
29158	28
36542	22
6784	13
54021	12
57203	16
50071	27
46131	19
40677	17
23626	18
53869	22
8346	22
9758	22
48066	24
17873	16
39116	22
55393	17
53467	24
48989	1
38615	30
35018	14
17691	37
22349	18
28251	18
31212	16
26757	18
49864	21
36214	20
8508	13
52039	11
17141	21
35666	19
47894	18
44920	21
2411	16
2244	18
11246	3
13580	3
22070	3
43691	5
43836	3
15893	4
57419	21
48317	19
2396	17
42128	10
27637	9
26829	22
12406	33
17312	22
4923	22
35759	22
50423	22
51442	22
38208	17
58251	18
50664	16
13787	22
50493	22
46754	22
29828	22
39860	19
24884	23
56162	23
4023	14
2967	38
3389	25
27823	17
2352	19
27679	19
47289	18
47708	19
44535	19
26696	19
12857	11
51982	20
1968	16
20526	19
38776	23
22801	19
6724	19
8748	20
4148	20
5772	19
33549	19
14793	22
50767	19
28434	18
28488	22
43826	22
2263	22
22435	19
13523	20
18792	19
51706	15
13026	19
44906	22
2989	19
51661	19
28435	19
7238	17
27653	19
52435	20
54506	19
46954	18
8326	18
37291	24
20668	25
14224	15
45730	13
9510	12
41236	15
33139	11
23901	11
5064	20
15210	16
43532	17
12513	17
15000	16
19079	17
47987	22
31586	9
10539	19
10179	21
13277	18
17108	45
40661	21
35624	21
42377	22
5289	22
23017	22
43260	22
3991	19
45746	20
54161	19
36832	5
17809	7
50020	8
24450	20
28323	17
10323	7
28894	4
19643	1
7260	5
10972	19
44256	19
11685	17
29868	19
50826	17
43614	19
51814	18
16156	19
28694	18
11562	19
7817	85
23722	7
35922	7
27485	13
6912	17
20260	20
25979	20
39078	22
28954	20
14448	24
54446	19
16754	21
29608	19
49717	25
34019	25
11582	10
24139	19
22194	24
26857	19
49492	19
46073	18
29738	19
3074	22
26132	22
17676	22
56079	20
46015	18
56707	21
55321	26
9060	28
14604	19
30382	19
2189	21
37097	21
32057	19
45419	19
23697	19
31423	22
46711	21
24951	20
24787	19
19921	24
8195	17
20881	16
18731	20
21177	20
2437	22
48908	22
36365	22
12784	31
19556	22
55432	15
7343	17
32224	19
54757	16
5286	15
44613	19
139	9
18786	21
31450	13
44596	11
15307	17
191	18
17926	19
17903	16
57186	19
5191	19
53372	19
6564	16
45779	19
33270	19
7145	19
42424	18
28931	19
46906	19
12731	14
7626	36
921	19
34169	30
45101	29
6139	19
48934	18
28498	19
12877	22
52102	20
51867	22
24466	21
25402	22
31169	13
48506	28
30435	15
2528	30
20141	14
12058	18
52069	36
50613	31
54925	21
42978	22
55542	17
3512	21
56918	21
16177	22
18730	19
34945	13
26170	19
28100	21
2118	22
19971	24
41536	24
42452	17
35707	18
28296	18
13762	17
41601	22
589	19
28397	22
11231	20
40955	18
25775	19
9875	18
44528	19
29040	19
48669	19
35228	19
35717	19
10850	18
28387	25
24022	22
18392	21
31870	18
23167	18
57673	18
10384	22
48676	19
40717	19
25456	21
19298	24
15965	24
46252	24
16237	43
57742	19
12330	19
16797	19
37893	19
23162	19
19874	19
19766	23
23679	19
36026	17
13473	18
27999	19
52288	19
42215	19
44330	22
50309	24
18362	19
30609	19
49541	18
20388	19
19173	18
53088	19
16511	19
2391	21
28671	41
23672	20
11868	19
37951	24
33979	24
57356	24
15017	25
38198	23
26193	20
44456	20
42021	23
41834	39
21624	19
1231	19
36891	18
24838	20
21375	16
21696	20
20459	21
20859	19
19900	22
10557	22
45676	11
32862	13
37118	19
5028	22
41606	26
34894	24
42214	24
43782	12
2387	11
32083	9
43990	6
10572	10
46512	10
37933	10
52798	10
9257	10
46879	4
41744	7
2453	33
27983	13
18396	22
29637	17
3606	22
28036	16
45528	21
24685	22
46616	17
19843	19
24438	21
4193	18
56497	22
37706	18
6028	18
39044	21
29842	19
54227	12
47516	12
7259	24
5514	22
15131	23
21848	22
42647	21
43811	39
35108	31
2690	19
7373	23
55033	23
49311	34
46891	16
7375	16
52437	19
5677	19
56229	17
13930	19
31893	19
11649	18
18963	18
19655	17
25824	16
39528	16
2926	19
47150	24
17865	19
8689	17
52599	17
13771	18
16604	18
2153	5
49620	9
33607	22
23318	22
10280	26
8004	22
48774	25
13189	110
38415	22
5477	21
43220	16
407	13
33676	15
39008	19
28988	22
42741	22
6197	22
57090	22
56469	14
16952	14
24308	18
54232	15
17214	19
7499	17
50611	4
54923	5
43375	7
13922	12
48936	29
34626	19
50474	13
35199	19
26201	16
28334	13
44281	18
6175	12
12396	15
44446	10
30612	15
13786	16
44928	15
51276	18
1686	15
43510	19
3264	12
44871	12
52064	13
23997	18
437	11
30133	14
207	11
15188	22
49898	21
32939	22
819	18
12405	19
19576	19
7003	20
19121	10
50902	18
28147	2
6652	27
28178	26
53407	24
12697	23
33158	18
13009	12
3276	16
46780	38
35540	20
47138	21
12193	137
57338	22
18791	18
33345	19
16422	19
13917	20
48663	45
58110	19
1892	19
50158	18
15932	22
50934	36
1351	19
3571	24
41021	19
32090	22
15358	20
22080	21
51899	24
41729	34
38192	15
13649	14
23612	20
6605	20
34698	22
46831	22
53866	21
53273	27
48369	33
28344	23
57026	22
2753	22
31364	19
31942	19
40345	18
5022	19
53785	19
37457	27
39544	19
51999	22
23345	18
50604	20
50567	18
41558	20
37892	22
12813	28
29671	32
720	19
41111	20
17806	20
8454	9
13556	9
55294	7
38247	20
19751	21
34937	24
45508	24
19682	22
306	31
1119	31
11508	21
14919	17
30209	17
49713	18
7678	30
32764	19
29088	25
44192	19
36204	21
28595	15
43838	25
11891	22
15461	22
55032	22
38382	22
23486	22
48235	22
9812	22
45764	22
15290	24
28808	88
51148	30
51621	22
41835	25
10696	25
34908	22
7697	22
9504	18
37409	20
37829	19
8220	19
8412	19
37160	19
46615	19
48657	19
43625	19
7468	20
2871	22
35639	22
45174	22
15397	21
55182	19
20836	20
7143	19
11507	7
44588	11
46618	12
26475	17
53152	18
45916	21
21876	17
52612	22
29337	22
36809	19
45034	20
5867	19
32499	18
35938	14
50592	11
15464	10
15390	12
51067	11
47535	13
27690	15
12946	15
11311	22
31974	11
32118	7
15714	8
48067	9
57126	13
40530	15
28392	12
44534	19
48425	17
27956	16
15183	19
12368	22
41877	22
3623	22
44789	26
23156	22
38204	22
20991	24
53630	17
30027	18
18311	13
14880	13
54239	20
3555	20
12528	19
30312	27
45818	29
19721	27
22666	18
54168	21
25315	22
47520	33
57437	22
32069	22
11385	29
34726	15
23335	10
31009	10
47976	20
18223	22
58023	19
134	35
32688	16
13691	17
22871	17
388	19
35862	19
13423	17
51428	27
9433	17
16733	24
49865	19
11700	18
53454	19
26101	24
56093	16
26299	16
31953	19
32460	19
24364	19
48599	19
54623	19
56358	19
15742	14
43881	14
21632	19
5301	19
38560	20
37211	20
24033	19
28255	18
44031	18
52987	22
27600	19
3361	8
36563	8
31266	7
3369	37
57316	89
10337	22
29348	22
33201	22
42996	22
46387	24
18174	24
37881	19
19981	68
42057	22
6712	23
15395	22
36064	19
31251	19
18554	18
6870	20
45537	22
17435	15
73	19
34783	19
50746	22
41121	21
49638	10
56231	66
45935	8
26605	9
31094	12
29807	11
38005	19
15038	20
19318	16
37295	19
34063	17
53738	19
41840	19
15384	22
37502	22
33476	22
3114	20
8372	12
39401	17
52397	67
10183	22
9769	22
10477	40
47051	31
48379	9
53130	11
46675	11
47119	11
12284	18
37824	19
14200	19
28071	19
30373	19
45261	19
32539	19
35073	19
29102	19
50494	22
19370	22
8352	22
29898	21
31764	22
29856	22
2667	22
2360	22
9436	24
35360	25
49799	24
42709	23
45641	19
53131	21
33011	18
22306	18
24486	29
30833	20
15605	22
46714	19
4567	19
36161	20
28633	22
4309	22
33442	20
8405	19
24168	20
20652	27
10153	28
40322	17
7330	15
39325	22
53342	18
38408	19
44411	19
26523	19
47403	19
32926	22
49486	49
22499	49
9275	19
9448	9
33310	18
49195	18
43345	21
29859	19
38828	21
22625	19
32469	30
50176	19
19516	19
54266	17
7954	19
41650	19
9550	19
54595	18
30085	17
473	19
41890	19
25003	19
32874	19
35526	34
44590	33
51737	18
51421	24
54851	3
32021	22
26676	36
13533	29
7747	17
52374	34
9101	34
9173	22
11539	22
50693	21
8562	21
45827	20
55136	16
4202	10
38459	21
41007	21
52537	13
18641	15
393	20
56702	22
12577	22
29208	15
19322	22
13986	19
40608	16
41335	22
33268	18
38543	22
26552	17
20975	22
50296	20
24011	19
9627	18
33483	21
16927	19
8862	19
42398	19
54602	18
52532	19
24851	22
51920	22
974	22
805	15
25338	19
46208	19
52752	19
23066	86
13332	86
