node	degree
10392	52
23432	45
53777	63
8519	190
39583	65
56556	82
15152	98
10054	102
3120	51
37582	95
6709	53
28272	23
11785	41
49017	49
49774	33
17664	55
18240	52
14422	119
49299	76
9107	103
50366	113
13458	92
31865	55
4007	58
74	34
1249	39
10756	137
30473	61
46191	63
54064	41
31991	72
5210	41
40296	20
55080	44
46055	75
28108	55
56305	108
10788	117
8498	18
50707	21
33261	48
22374	115
19294	310
47478	342
8534	12
32982	30
51271	15
29244	949
41852	65
43195	79
4367	73
48843	78
24521	334
35730	73
9248	71
45673	22
26760	29
35399	18
43786	27
34088	144
23261	30
54004	103
18583	62
15862	156
22942	158
50414	23
37894	70
32747	35
44089	55
32897	56
39661	184
16443	254
46087	17
9687	15
13918	50
5704	13
50618	107
7052	11
38478	25
20385	13
10843	22
44320	14
21693	15
2334	91
26615	70
11607	130
7294	63
18445	155
27782	8
21320	17
6619	11
7446	20
311	9
27601	46
53520	59
36079	37
45217	22
19402	41
37509	8
6879	29
55126	32
8054	18
56055	15
30006	38
48895	45
48612	38
44755	44
24613	31
48438	35
14342	83
19779	69
7648	8
47786	64
31277	20
24372	96
36967	62
30765	107
33044	44
18829	64
32766	56
31596	76
25803	82
41521	99
8869	60
5946	71
57392	258
44866	53
43226	45
13226	50
40199	60
26284	80
50685	31
27921	86
44520	109
55525	128
46634	39
5056	45
31006	15
21613	12
11993	14
24839	180
25159	94
11969	43
48765	157
12093	368
16504	68
521	116
38411	93
45957	127
14555	340
5138	76
32733	156
40007	69
49490	1365
24287	67
29070	38
328	47
50098	36
36559	102
42015	741
19310	169
41772	67
14621	76
33854	63
57393	54
29445	246
18082	95
54550	53
566	128
33663	61
8432	92
44833	78
4900	54
24337	66
19219	68
20005	71
24681	105
18312	75
13879	87
33039	2427
36455	57
56303	102
26802	95
16054	47
35858	54
31227	41
46228	20
39344	144
57923	23
42280	64
18083	65
35181	107
57554	243
47798	59
53643	196
11659	57
14749	84
38588	127
35572	38
34393	874
47388	83
51875	1
34527	20
33884	124
18933	71
6825	46
35853	88
20599	53
53531	166
54301	61
31099	123
16621	76
45181	29
18640	64
8233	66
10822	265
18236	317
28030	12
1970	57
2903	72
20484	201
54790	61
29203	48
43754	114
55198	105
37678	28
37439	62
54040	86
28484	29
36137	76
26530	22
28064	17
18839	5
53656	88
2619	30
31889	30
54563	65
7486	22
50007	36
10480	51
48950	245
21480	78
27937	94
10471	66
44048	168
47507	184
24878	210
40909	82
6337	23
27777	36
29004	58
34202	34
18309	24
16571	47
17459	29
16217	58
7763	96
26949	101
3702	93
28885	63
34194	67
27723	263
15003	86
52001	44
33458	286
19573	61
54607	115
36714	99
28644	77
58209	166
31689	49
24355	96
21911	166
52188	53
48134	54
39603	70
8975	39
46820	16
30829	68
35888	55
15641	97
9218	86
15259	69
30934	190
2280	35
12252	48
45244	52
31894	50
18772	80
43016	160
22878	26
53333	100
3870	81
9146	147
20528	61
43780	127
14154	65
8190	76
53339	147
324	39
46719	41
33461	71
38107	55
41811	55
50915	41
47076	70
1957	87
36496	37
53529	43
16525	25
20953	62
7548	19
49600	22
49035	112
43333	147
54126	197
34703	129
8713	169
18057	143
57801	80
17068	125
45371	31
11959	57
25972	447
9420	34
32184	69
20062	57
41185	62
23379	66
10855	55
17835	61
45126	63
22706	112
12669	105
41694	13
49350	109
46437	43
55299	36
32888	93
49606	182
42797	251
57093	288
54930	62
36290	61
1544	70
16756	91
18003	96
27001	93
8065	45
48051	60
43473	57
39930	80
22729	95
29965	28
11094	309
12254	190
58229	117
44317	76
10162	364
23163	349
37997	169
28587	174
52698	172
7862	71
6330	65
32825	50
17441	64
23304	91
24007	30
27764	131
9317	91
7498	22
45010	17
17506	16
51002	88
2180	71
2626	95
51619	52
38029	71
32277	66
27380	116
9466	161
57172	60
30898	24
45826	98
58310	106
57131	118
29481	46
30845	30
34738	95
13627	189
24953	150
15640	251
4732	48
56203	105
40995	17
23204	80
26892	39
49683	69
52125	90
14848	64
32619	71
56642	50
34290	104
451	215
34366	83
27640	94
8398	115
22050	108
35395	285
19813	348
44507	52
41037	18
12100	20
20527	33
58003	45
1080	40
21546	36
47815	35
3509	54
17914	36
37864	186
716	94
31977	133
6380	88
39055	49
21829	212
45853	56
27050	70
34928	50
29364	70
13257	11
20905	39
17740	19
17454	24
15638	23
25127	187
3740	202
27432	69
28276	91
953	97
56914	81
38304	221
5746	176
26706	171
15870	153
5958	95
15564	76
16105	165
18769	168
13953	165
39405	145
16392	72
44100	55
18499	125
3360	709
18328	71
34672	344
13599	61
55077	131
54352	69
14406	132
34752	62
53391	35
34359	26
19117	30
16028	63
8434	43
32471	52
41604	52
14259	20
9117	300
30436	35
11707	6
52265	115
19650	52
11577	30
56122	116
51740	60
22191	26
36109	45
48569	73
30799	910
7930	101
11526	142
53586	208
6585	42
11314	40
51337	25
15589	90
49665	59
2117	145
55134	276
3765	32
27431	41
38960	43
8025	39
12002	74
49014	67
6932	101
9304	80
47704	83
29254	188
50276	39
25431	172
3579	102
53354	232
45914	139
39040	71
21765	78
24390	33
50118	629
15879	21
57680	36
9138	38
17228	16
36348	30
22291	27
57781	33
31272	15
44979	40
39090	44
1869	63
57844	47
56568	18
38973	157
41958	90
16291	67
58281	65
47653	33
35909	60
46375	171
9543	51
52447	437
48437	105
43977	79
54523	757
17117	103
21620	214
40834	94
37140	118
13110	131
45796	74
10907	91
25936	105
22223	127
46098	72
39417	121
11010	17
39574	119
33096	26
43047	87
11750	49
39553	112
46204	81
41848	123
3188	132
51761	120
48375	151
53682	86
15715	25
53008	39
23247	106
51745	196
43266	44
36961	11
9172	54
37651	22
4370	5
4068	46
37669	15
50731	60
45520	7
12560	27
37178	45
19566	93
22404	90
19611	135
6637	127
4519	131
27325	114
6078	129
40070	66
2748	63
13422	62
39129	66
50192	97
4201	58
3524	70
45612	48
40318	39
23681	57
25029	53
15706	60
39327	69
54260	28
49792	67
54144	47
57156	108
17440	237
45075	52
4393	16
6204	23
12765	28
55197	54
47939	58
54427	17
53338	64
47811	54
27729	52
49053	25
27197	21
20357	50
17185	14
12338	30
53480	37
50342	141
21796	47
55666	35
55816	73
49439	266
55022	54
31813	30
1575	43
49344	77
48130	75
48844	42
57271	59
12531	54
32562	74
28139	57
15444	181
56007	39
15788	143
13647	111
27855	107
7371	49
24618	88
24760	300
24803	171
44457	77
18105	52
28534	54
47671	179
9142	363
48020	17
42781	12
9684	41
25128	17
44997	41
33617	34
1946	178
4472	421
39988	132
48378	49
6366	241
24048	373
54318	351
8784	12
20560	106
45260	39
43314	19
26472	91
16885	115
19103	158
14997	24
23965	30
17518	26
35850	69
11572	17
4497	44
20774	144
25133	65
37963	65
50870	59
11432	90
57979	18
19582	34
35045	64
13303	193
19775	36
51266	62
54812	542
20351	83
12197	72
7887	153
17183	114
36361	29
23703	73
25145	51
47004	31
53387	99
9501	96
52700	59
4445	62
30864	45
12269	135
20345	142
1533	95
55743	80
13070	121
2162	94
41623	122
8674	98
7641	79
29893	32
42542	127
51057	116
54962	47
23466	98
35143	127
52917	187
745	120
5759	75
18661	113
47492	44
2616	43
48899	27
8628	28
24517	31
33801	109
17993	79
21387	61
12367	56
39068	37
11064	116
2585	45
26060	85
33550	68
33659	29
45091	25
34280	98
14685	113
38069	101
7076	83
23409	38
54010	31
12700	99
13472	191
50530	100
44819	92
49900	35
57858	100
4834	92
52100	41
25086	35
39247	139
44398	523
36959	88
75	15
37923	61
54222	103
52571	71
6578	53
240	36
22509	18
35401	35
9360	56
14125	34
7164	17
43430	57
11694	110
58400	103
34511	60
14775	41
23505	49
21333	150
56170	35
6371	46
15059	202
943	234
56607	109
24200	122
55367	159
949	98
55697	131
41344	111
40928	83
10492	31
1597	174
1183	77
31528	81
33052	71
2187	172
7156	82
21859	140
31503	104
14085	28
16588	120
54950	46
48553	11
11130	74
14067	83
55663	31
46869	200
18183	37
14136	71
27045	342
51256	70
33888	90
19379	121
14014	14
10532	28
49596	141
28532	104
40156	127
16725	125
32026	129
19313	142
54269	302
11795	27
48997	36
33834	151
28184	32
33900	74
43905	66
57049	65
26085	72
52185	64
23061	82
49174	61
1143	91
17078	61
35262	84
5882	75
14338	105
54373	52
40641	15
4240	37
26972	321
5862	23
23898	53
11206	77
11393	51
42159	17
23949	45
49730	141
57300	46
15707	19
20266	34
15983	82
43513	109
19217	85
168	219
7876	10
5231	75
4980	70
18530	346
19195	136
14255	100
44843	96
54250	50
38195	30
49594	47
2591	84
31378	17
2112	49
51751	17
43118	124
34715	45
29157	61
12628	23
54813	36
23527	58
33272	100
28326	118
39859	48
13103	34
20175	443
46935	201
2948	23
21117	45
49441	54
4807	54
42117	65
396	69
3432	98
53637	74
5428	158
37495	110
39425	103
33998	18
55597	14
50449	100
43277	112
11932	48
12073	155
41108	63
21664	33
48813	85
23601	21
24677	159
253	7
57290	632
1778	64
31684	115
9040	111
50338	192
31890	86
32574	97
55825	30
50207	39
52846	54
22434	147
50152	82
38629	102
53695	95
22340	100
9552	84
31363	20
55721	163
23010	151
15112	40
15765	24
48733	38
54234	209
15815	325
32591	64
30238	39
35468	46
5643	230
33542	86
6069	90
36028	55
144	32
3527	32
44445	102
14147	34
57569	37
22604	45
10104	150
39429	96
55720	51
28132	58
1305	59
26021	18
2894	78
2251	78
28266	225
42432	47
35388	79
16337	86
49203	90
47547	89
8636	40
13319	212
40447	156
439	53
25065	57
55257	52
37653	97
5741	157
30414	40
10643	160
37326	97
2002	39
31387	41
14328	42
7673	44
34107	118
2781	86
44802	34
3752	179
813	160
13536	121
45333	140
21439	122
6086	116
47284	83
4234	155
58311	110
9303	56
8501	4
56275	87
40132	144
25454	57
184	47
55084	25
523	42
55667	80
41412	184
41798	34
15330	48
28465	21
4109	89
9610	89
15221	32
52708	15
32345	83
2873	189
4010	71
8098	16
53396	13
21698	20
54573	8
28141	58
49292	34
36704	61
9599	79
16508	42
24869	56
55873	59
40045	124
32161	78
17879	90
1678	55
25989	47
13416	63
37421	88
33608	97
45266	131
56902	71
797	86
49139	42
19003	53
42259	120
41160	32
17675	46
31765	145
1550	25
28343	46
28539	30
46850	47
11125	91
18329	34
50676	87
13875	41
39530	20
2390	24
1546	144
12050	72
16188	56
23607	56
14457	89
48925	67
34058	73
332	107
7315	69
20033	63
40461	61
16543	44
3098	43
2169	97
6016	66
26136	52
43192	27
46960	84
9575	81
48050	108
1879	267
6043	62
57914	33
18021	67
32310	68
35165	99
11487	150
48068	60
43318	42
15374	57
39218	59
40430	62
23957	6
669	3
44362	26
13218	51
16977	31
13101	69
55901	22
50989	37
13201	63
23234	129
32577	192
56025	115
56778	171
41009	74
37526	49
44118	382
26122	14
21318	40
21805	56
27158	41
29955	23
6562	35
39579	43
57640	42
57511	80
5135	63
53210	38
8318	54
32843	161
22654	17
25550	102
25789	242
3384	32
24518	20
11984	58
50882	90
54829	47
49132	55
55103	125
43262	109
29900	42
44141	80
44021	113
45369	116
15235	41
32072	99
47142	27
9214	45
37260	72
34540	230
9728	698
56859	69
9143	89
41914	102
1591	55
38727	24
30709	48
24162	25
50281	38
27036	46
42313	115
17051	825
27543	182
7057	112
41397	203
49560	32
21051	55
46920	35
46678	76
6470	66
35826	71
37180	27
37191	32
48031	242
51132	178
7906	69
6674	81
33070	44
19661	63
52788	53
46165	52
15463	160
41615	129
33869	107
30405	84
19878	90
3989	50
52078	69
513	39
36682	46
6653	77
16900	74
49332	33
40159	100
7173	75
8355	47
3919	61
2588	35
25198	9
34341	28
24744	135
32916	79
7743	108
37123	84
697	46
14985	177
58156	34
54991	62
10771	64
38377	8
26313	68
26738	109
5963	109
46787	127
38607	101
36055	33
54163	55
39576	137
48523	138
29238	328
18419	55
45358	87
26998	107
19699	25
42554	32
11166	27
43435	134
24446	53
27243	35
48406	101
52976	12
9392	145
23710	197
37711	73
5888	308
27111	68
12279	129
48590	22
41972	42
32876	49
999	47
46608	5
24992	3
30488	11
31722	92
35524	86
49001	71
58234	87
41476	41
19759	55
41247	134
19790	70
39941	63
44839	216
17384	212
23137	77
14243	31
50422	27
37665	27
10015	77
4285	123
14954	67
46626	14
10654	30
15421	19
39307	39
49346	69
19348	1
23047	217
44969	94
10895	183
29948	72
31688	122
52018	93
56633	39
48927	67
47195	57
9266	148
6395	135
43170	25
56610	24
8840	79
2913	36
31478	92
19233	98
23840	69
45994	68
54233	39
42170	37
27939	58
15427	333
49564	124
52352	150
38203	194
44536	72
34898	87
998	23
19773	27
45905	56
39023	104
15957	120
56328	47
5471	48
52663	64
13824	34
8364	59
39235	37
39756	53
22244	75
57856	100
47794	33
58032	4
28645	74
28976	70
25857	26
2498	30
12660	75
51580	44
32461	48
30598	41
6966	48
17775	76
56757	94
55152	74
42905	48
37498	54
26168	70
52407	54
43214	126
8639	75
35831	106
22014	31
34834	307
14736	156
56876	334
40337	39
26627	25
58355	37
54100	32
44382	71
42668	14
51719	141
20835	65
8138	49
50322	56
31639	86
43879	46
4949	61
48075	15
39814	33
37004	34
17714	52
34022	66
28558	46
8666	77
6616	45
36986	56
53501	131
24133	46
32367	55
42937	90
34007	34
173	42
58115	47
10919	43
2032	64
30954	229
21299	45
40012	63
20232	209
49635	101
5167	32
3618	242
26515	547
34798	48
11176	33
42549	144
3425	129
48267	115
25767	140
56116	84
37641	28
23854	25
20658	50
10845	43
51907	272
4448	112
25140	61
12392	134
1836	51
36278	320
49202	27
1870	10
13461	91
53228	28
23370	63
3677	43
30839	23
54644	52
5458	92
8919	76
44358	74
39188	118
44505	199
25948	43
46576	53
28697	28
57915	65
58055	67
55036	30
15191	31
10632	92
43290	105
45756	99
18551	69
20701	26
33355	44
55130	56
55954	55
25343	60
16351	58
29316	113
17849	88
23862	14
41750	25
31510	49
22365	44
26263	38
14146	77
52991	113
44329	74
24789	106
24640	96
2299	74
38278	79
51637	62
7830	8
7088	67
14472	19
56727	20
26452	21
57996	44
39341	78
36477	85
21185	71
7855	43
11760	95
45614	58
1214	38
19905	56
11418	17
43631	29
35907	58
33205	148
46655	74
1535	87
50734	82
37308	27
17297	29
37470	86
44627	124
38881	89
12463	298
1252	65
36706	30
52431	31
57726	91
20327	196
32730	152
42757	118
13104	109
13980	32
39568	61
23546	39
36710	47
42707	387
13789	97
26830	113
4667	53
37435	89
46531	62
25480	121
15922	41
2984	81
4934	74
46231	173
20503	86
47512	94
35098	101
4612	69
4220	93
20164	58
50023	65
54732	59
40298	109
55235	358
370	302
20841	344
49232	181
44891	319
32727	512
10464	66
52455	87
51929	77
23732	16
57595	24
17984	66
50156	65
51374	58
55284	63
17484	91
39194	92
52199	41
10473	50
43978	97
14270	92
23352	107
41430	46
54193	168
24475	34
45313	37
43823	41
1058	20
48429	9
3603	58
31415	34
53340	134
40437	33
37519	47
49881	21
20663	45
57910	74
40328	175
32306	59
26798	87
22857	110
40344	56
26565	165
29158	317
36542	66
6784	22
54021	28
57203	50
50071	52
46131	78
40677	37
23626	27
53869	68
8346	77
9758	87
48066	320
17873	42
39116	69
55393	45
53467	471
48989	1
38615	131
35018	44
17691	118
22349	39
28251	49
31212	35
26757	48
49864	94
36214	74
8508	26
52039	13
17141	86
35666	36
47894	23
44920	176
2411	19
2244	39
11246	3
13580	3
22070	3
43691	6
43836	4
15893	6
57419	31
48317	79
2396	37
42128	18
27637	13
26829	108
12406	146
17312	120
4923	103
35759	127
50423	86
51442	99
38208	47
58251	80
50664	37
13787	85
50493	62
46754	100
29828	36
39860	36
24884	245
56162	227
4023	22
2967	1560
3389	93
27823	64
2352	40
27679	38
47289	42
47708	70
44535	63
26696	50
12857	28
51982	44
1968	47
20526	52
38776	60
22801	48
6724	57
8748	61
4148	55
5772	67
33549	49
14793	82
50767	40
28434	24
28488	162
43826	104
2263	186
22435	38
13523	74
18792	43
51706	34
13026	59
44906	53
2989	46
51661	77
28435	74
7238	36
27653	59
52435	240
54506	37
46954	33
8326	40
37291	339
20668	78
14224	23
45730	19
9510	18
41236	23
33139	22
23901	29
5064	140
15210	29
43532	27
12513	24
15000	28
19079	33
47987	100
31586	14
10539	35
10179	80
13277	29
17108	213
40661	53
35624	38
42377	60
5289	66
23017	71
43260	62
3991	60
45746	60
54161	28
36832	10
17809	9
50020	17
24450	71
28323	48
10323	14
28894	6
19643	1
7260	20
10972	47
44256	39
11685	61
29868	84
50826	65
43614	136
51814	56
16156	56
28694	38
11562	44
7817	335
23722	11
35922	11
27485	33
6912	44
20260	42
25979	49
39078	88
28954	47
14448	329
54446	68
16754	64
29608	73
49717	98
34019	75
11582	11
24139	61
22194	120
26857	199
49492	40
46073	30
29738	62
3074	118
26132	65
17676	74
56079	66
46015	57
56707	97
55321	64
9060	79
14604	36
30382	40
2189	70
37097	64
32057	50
45419	35
23697	43
31423	124
46711	65
24951	56
24787	38
19921	168
8195	55
20881	35
18731	35
21177	55
2437	74
48908	53
36365	63
12784	135
19556	135
55432	53
7343	88
32224	140
54757	74
5286	44
44613	87
139	18
18786	61
31450	43
44596	20
15307	86
191	67
17926	75
17903	55
57186	41
5191	55
53372	49
6564	28
45779	66
33270	73
7145	44
42424	32
28931	108
46906	85
12731	18
7626	901
921	104
34169	77
45101	101
6139	52
48934	46
28498	35
12877	79
52102	55
51867	76
24466	61
25402	80
31169	27
48506	37
30435	25
2528	70
20141	22
12058	55
52069	114
50613	165
54925	89
42978	85
55542	48
3512	66
56918	44
16177	93
18730	76
34945	23
26170	59
28100	46
2118	106
19971	73
41536	92
42452	30
35707	63
28296	36
13762	44
41601	104
589	66
28397	98
11231	65
40955	55
25775	71
9875	32
44528	65
29040	77
48669	55
35228	77
35717	58
10850	64
28387	199
24022	244
18392	135
31870	85
23167	69
57673	80
10384	114
48676	52
40717	47
25456	45
19298	49
15965	174
46252	291
16237	164
57742	101
12330	65
16797	107
37893	57
23162	71
19874	113
19766	99
23679	60
36026	51
13473	62
27999	98
52288	141
42215	147
44330	117
50309	102
18362	90
30609	63
49541	36
20388	43
19173	30
53088	58
16511	118
2391	131
28671	254
23672	67
11868	50
37951	213
33979	91
57356	98
15017	129
38198	64
26193	237
44456	225
42021	81
41834	72
21624	44
1231	103
36891	29
24838	71
21375	33
21696	53
20459	51
20859	33
19900	147
10557	215
45676	17
32862	21
37118	81
5028	286
41606	410
34894	287
42214	113
43782	18
2387	19
32083	12
43990	7
10572	24
46512	18
37933	31
52798	18
9257	19
46879	6
41744	8
2453	89
27983	29
18396	155
29637	31
3606	86
28036	27
45528	53
24685	51
46616	46
19843	55
24438	50
4193	38
56497	75
37706	45
6028	39
39044	65
29842	81
54227	15
47516	14
7259	280
5514	219
15131	278
21848	82
42647	63
43811	257
35108	202
2690	62
7373	64
55033	83
49311	76
46891	45
7375	74
52437	92
5677	87
56229	35
13930	77
31893	65
11649	60
18963	46
19655	40
25824	22
39528	39
2926	41
47150	149
17865	70
8689	51
52599	38
13771	60
16604	39
2153	5
49620	15
33607	85
23318	216
10280	248
8004	144
48774	424
13189	375
38415	219
5477	57
43220	25
407	28
33676	50
39008	90
28988	75
42741	164
6197	117
57090	62
56469	38
16952	43
24308	60
54232	28
17214	99
7499	43
50611	4
54923	6
43375	11
13922	22
48936	96
34626	57
50474	23
35199	55
26201	49
28334	26
44281	59
6175	20
12396	40
44446	14
30612	44
13786	56
44928	62
51276	47
1686	48
43510	100
3264	24
44871	25
52064	31
23997	68
437	19
30133	44
207	16
15188	69
49898	48
32939	279
819	71
12405	44
19576	36
7003	92
19121	30
50902	63
28147	3
6652	247
28178	167
53407	130
12697	56
33158	61
13009	16
3276	30
46780	84
35540	101
47138	151
12193	321
57338	58
18791	29
33345	68
16422	77
13917	77
48663	176
58110	56
1892	49
50158	36
15932	58
50934	744
1351	60
3571	160
41021	53
32090	66
15358	62
22080	48
51899	360
41729	125
38192	52
13649	31
23612	65
6605	34
34698	48
46831	66
53866	46
53273	145
48369	133
28344	93
57026	76
2753	71
31364	118
31942	108
40345	56
5022	95
53785	122
37457	136
39544	45
51999	59
23345	38
50604	84
50567	50
41558	150
37892	152
12813	107
29671	161
720	48
41111	86
17806	95
8454	25
13556	24
55294	8
38247	71
19751	99
34937	285
45508	301
19682	70
306	149
1119	124
11508	118
14919	39
30209	55
49713	37
7678	134
32764	34
29088	744
44192	63
36204	78
28595	34
43838	278
11891	102
15461	52
55032	53
38382	47
23486	50
48235	64
9812	50
45764	59
15290	105
28808	283
51148	86
51621	73
41835	155
10696	139
34908	63
7697	88
9504	45
37409	74
37829	57
8220	110
8412	81
37160	54
46615	96
48657	97
43625	60
7468	290
2871	303
35639	102
45174	63
15397	151
55182	108
20836	182
7143	70
11507	12
44588	23
46618	32
26475	39
53152	37
45916	48
21876	34
52612	124
29337	100
36809	96
45034	83
5867	73
32499	32
35938	48
50592	20
15464	19
15390	27
51067	22
47535	22
27690	51
12946	41
11311	99
31974	26
32118	11
15714	16
48067	18
57126	46
40530	48
28392	44
44534	89
48425	68
27956	41
15183	56
12368	154
41877	109
3623	142
44789	179
23156	90
38204	105
20991	114
53630	44
30027	46
18311	16
14880	19
54239	84
3555	73
12528	55
30312	163
45818	185
19721	238
22666	24
54168	50
25315	58
47520	164
57437	64
32069	57
11385	54
34726	32
23335	14
31009	23
47976	46
18223	124
58023	47
134	173
32688	36
13691	66
22871	58
388	214
35862	128
13423	137
51428	123
9433	45
16733	246
49865	70
11700	25
53454	140
26101	203
56093	31
26299	36
31953	75
32460	57
24364	52
48599	117
54623	53
56358	111
15742	39
43881	28
21632	135
5301	60
38560	78
37211	133
24033	54
28255	32
44031	34
52987	63
27600	85
3361	10
36563	11
31266	7
3369	65
57316	206
10337	48
29348	111
33201	88
42996	100
46387	361
18174	396
37881	48
19981	202
42057	68
6712	195
15395	75
36064	86
31251	70
18554	50
6870	61
45537	101
17435	15
73	49
34783	77
50746	130
41121	60
49638	23
56231	425
45935	17
26605	21
31094	40
29807	24
38005	216
15038	207
19318	77
37295	70
34063	30
53738	110
41840	88
15384	42
37502	70
33476	56
3114	29
8372	22
39401	40
52397	148
10183	180
9769	116
10477	144
47051	106
48379	17
53130	28
46675	23
47119	28
12284	50
37824	52
14200	79
28071	53
30373	88
45261	71
32539	78
35073	65
29102	49
50494	143
19370	122
8352	92
29898	47
31764	64
29856	92
2667	114
2360	81
9436	320
35360	300
49799	471
42709	69
45641	54
53131	91
33011	60
22306	51
24486	155
30833	25
15605	179
46714	122
4567	114
36161	88
28633	166
4309	150
33442	100
8405	81
24168	63
20652	166
10153	70
40322	31
7330	26
39325	290
53342	37
38408	67
44411	107
26523	113
47403	95
32926	113
49486	298
22499	244
9275	63
9448	16
33310	22
49195	21
43345	92
29859	48
38828	65
22625	33
32469	72
50176	43
19516	53
54266	37
7954	93
41650	91
9550	51
54595	65
30085	41
473	69
41890	117
25003	63
32874	42
35526	163
44590	105
51737	50
51421	245
54851	5
32021	40
26676	229
13533	198
7747	41
52374	108
9101	102
9173	91
11539	88
50693	95
8562	64
45827	31
55136	25
4202	13
38459	88
41007	71
52537	21
18641	32
393	69
56702	325
12577	41
29208	68
19322	78
13986	79
40608	33
41335	81
33268	51
38543	76
26552	52
20975	88
50296	47
24011	52
9627	36
33483	56
16927	56
8862	114
42398	201
54602	33
52532	49
24851	51
51920	63
974	72
805	24
25338	87
46208	29
52752	34
23066	251
